ticket,threshold,precision_target_1,recall_target_1,f1_target_1
4,0.3,0.6144,0.8611,0.7171
4,0.35,0.6717,0.8183,0.7378
4,0.4,0.7151,0.774,0.7434
4,0.45,0.7756,0.7389,0.7568
4,0.5,0.8121,0.6992,0.7514
4,0.55,0.8418,0.658,0.7386
4,0.6,0.8744,0.5954,0.7084
4,0.65,0.9067,0.5344,0.6724
4,0.7,0.9345,0.4794,0.6337
4,0.3,0.6144,0.8611,0.7171
4,0.35,0.6717,0.8183,0.7378
4,0.4,0.7151,0.774,0.7434
4,0.45,0.7756,0.7389,0.7568
4,0.5,0.8121,0.6992,0.7514
4,0.55,0.8418,0.658,0.7386
4,0.6,0.8744,0.5954,0.7084
4,0.65,0.9067,0.5344,0.6724
4,0.7,0.9345,0.4794,0.6337
4,0.3,0.6144,0.8611,0.7171
4,0.35,0.6717,0.8183,0.7378
4,0.4,0.7151,0.774,0.7434
4,0.45,0.7756,0.7389,0.7568
4,0.5,0.8121,0.6992,0.7514
4,0.55,0.8418,0.658,0.7386
4,0.6,0.8744,0.5954,0.7084
4,0.65,0.9067,0.5344,0.6724
4,0.7,0.9345,0.4794,0.6337
